text,disease
My main problems are weakness and stomach pain.,Typhoid
"For the last few days, I noticed pale skin, dizziness, shortness of breath and fatigue.",Anemia
"My main problems are eye pain, joint pain, rash and high fever.",Dengue
"I am suffering from headache, loss of smell, fever and fatigue.",COVID-19
"I am dealing with fever, cough and headache.",Flu
I have been experiencing loss of appetite and prolonged fever for the past few days.,Typhoid
"Lately I am having pale skin, shortness of breath, fatigue and dizziness.",Anemia
"I am dealing with nausea, severe headache and sensitivity to light.",Migraine
"I have been experiencing wheezing, shortness of breath and chest tightness for the past few days.",Asthma
"Lately I am having body pain, cough and fatigue.",Flu
"I am suffering from sensitivity to light, nausea and severe headache.",Migraine
I have been experiencing stomach cramps and fever for the past few days.,Food Poisoning
"I feel nausea, severe headache and vomiting.",Migraine
"For the last few days, I noticed loss of appetite, stomach pain, bloating and nausea.",Gastritis
"I have been experiencing prolonged fever, loss of appetite and stomach pain for the past few days.",Typhoid
"I have symptoms like severe headache, sensitivity to light, vomiting and nausea.",Migraine
"My main problems are dizziness, blurred vision, headache and chest discomfort.",Hypertension
"I am dealing with cough, wheezing, shortness of breath and chest tightness.",Asthma
"My main problems are wheezing, chest tightness and shortness of breath.",Asthma
"I feel nausea, vomiting, fever and diarrhea.",Food Poisoning
"For the last few days, I noticed nausea, severe headache and vomiting.",Migraine
"Lately I am having fatigue, loss of smell, shortness of breath and dry cough.",COVID-19
"I am dealing with stomach pain, weakness, prolonged fever and headache.",Typhoid
My main problems are headache and blurred vision.,Hypertension
I am dealing with fatigue and fever.,COVID-19
"I have symptoms like runny nose, sneezing, mild cough and sore throat.",Common Cold
I feel blurred vision and fatigue.,Diabetes
"I feel skin rash, itchy eyes and sneezing.",Allergy
"I am suffering from headache, weakness, prolonged fever and loss of appetite.",Typhoid
"For the last few days, I noticed fever, diarrhea, vomiting and stomach cramps.",Food Poisoning
"I feel wheezing, chest tightness and cough.",Asthma
"My main problems are severe headache, nausea, sensitivity to light and vomiting.",Migraine
"Lately I am having nausea, vomiting, severe headache and sensitivity to light.",Migraine
"I have symptoms like cough, fatigue and body pain.",Flu
"For the last few days, I noticed congestion, mild cough, sneezing and sore throat.",Common Cold
My main problems are diarrhea and stomach cramps.,Food Poisoning
"For the last few days, I noticed nausea, severe headache and vomiting.",Migraine
I have symptoms like sore throat and fatigue.,Flu
I have been experiencing skin rash and runny nose for the past few days.,Allergy
"I feel chest tightness, cough and shortness of breath.",Asthma
"My main problems are fatigue, loss of smell and headache.",COVID-19
I have symptoms like bloating and nausea.,Gastritis
"I am dealing with loss of appetite, headache and prolonged fever.",Typhoid
"I have symptoms like runny nose, congestion, mild cough and sore throat.",Common Cold
"I am suffering from sensitivity to light, vomiting and nausea.",Migraine
I feel fatigue and dizziness.,Anemia
"For the last few days, I noticed nausea and vomiting.",Food Poisoning
"My main problems are body pain, cough, sore throat and headache.",Flu
"My main problems are diarrhea, fever, stomach cramps and vomiting.",Food Poisoning
I feel blurred vision and headache.,Hypertension
I have been experiencing sore throat and congestion for the past few days.,Common Cold
My main problems are cough and chills.,Flu
"Lately I am having fever, body pain, headache and sore throat.",Flu
"I have been experiencing fatigue, increased thirst and blurred vision for the past few days.",Diabetes
"I feel stomach cramps, diarrhea and vomiting.",Food Poisoning
I am dealing with fatigue and pale skin.,Anemia
I am dealing with joint pain and reduced movement.,Arthritis
"I am suffering from diarrhea, nausea, stomach cramps and fever.",Food Poisoning
"I have been experiencing headache, nausea, sweating and fever for the past few days.",Malaria
"I have symptoms like mild cough, sore throat and sneezing.",Common Cold
"I have symptoms like chills, nausea, headache and fever.",Malaria
"My main problems are runny nose, sneezing and skin rash.",Allergy
"For the last few days, I noticed congestion and runny nose.",Common Cold
"For the last few days, I noticed chest discomfort, dizziness and blurred vision.",Hypertension
I have been experiencing swelling and joint pain for the past few days.,Arthritis
"I am suffering from indigestion, bloating, stomach pain and nausea.",Gastritis
"I am suffering from vomiting, nausea and severe headache.",Migraine
"I have been experiencing nausea, vomiting and sensitivity to light for the past few days.",Migraine
"Lately I am having weight loss, increased thirst and fatigue.",Diabetes
"I have symptoms like headache, dizziness, chest discomfort and blurred vision.",Hypertension
My main problems are runny nose and congestion.,Common Cold
"For the last few days, I noticed runny nose and itchy eyes.",Allergy
"I have been experiencing sweating, chills and headache for the past few days.",Malaria
"My main problems are skin rash, sneezing and itchy eyes.",Allergy
"I have been experiencing loss of smell, dry cough and fever for the past few days.",COVID-19
"For the last few days, I noticed wheezing and shortness of breath.",Asthma
"I am suffering from blurred vision, headache and chest discomfort.",Hypertension
"I have symptoms like severe headache, vomiting and sensitivity to light.",Migraine
I have been experiencing headache and fever for the past few days.,Flu
"I have symptoms like chills, headache and body pain.",Flu
"Lately I am having dizziness, fatigue, shortness of breath and pale skin.",Anemia
"I have been experiencing loss of appetite, prolonged fever and stomach pain for the past few days.",Typhoid
I have been experiencing swelling and joint pain for the past few days.,Arthritis
"I have symptoms like nausea, stomach cramps and fever.",Food Poisoning
"I am suffering from eye pain, rash, headache and joint pain.",Dengue
"For the last few days, I noticed skin rash, sneezing and itchy eyes.",Allergy
I am dealing with sensitivity to light and vomiting.,Migraine
"I am dealing with wheezing, cough, shortness of breath and chest tightness.",Asthma
"I have been experiencing weakness, prolonged fever, stomach pain and loss of appetite for the past few days.",Typhoid
"For the last few days, I noticed blurred vision, dizziness, chest discomfort and headache.",Hypertension
"I feel blurred vision, dizziness and chest discomfort.",Hypertension
I have been experiencing wheezing and shortness of breath for the past few days.,Asthma
"I feel skin rash, sneezing and runny nose.",Allergy
"I am dealing with joint pain, swelling, stiffness and reduced movement.",Arthritis
"My main problems are fever, nausea, vomiting and stomach cramps.",Food Poisoning
"My main problems are rash, headache and high fever.",Dengue
"My main problems are headache, high fever and joint pain.",Dengue
My main problems are nausea and sensitivity to light.,Migraine
"Lately I am having headache, sweating, fever and nausea.",Malaria
"Lately I am having shortness of breath, cough and wheezing.",Asthma
"I am dealing with vomiting, diarrhea and stomach cramps.",Food Poisoning
I have symptoms like joint pain and reduced movement.,Arthritis
"I have symptoms like mild cough, congestion and runny nose.",Common Cold
"For the last few days, I noticed vomiting and sensitivity to light.",Migraine
I am dealing with fever and vomiting.,Food Poisoning
I have symptoms like itchy eyes and skin rash.,Allergy
"Lately I am having shortness of breath, dizziness, fatigue and pale skin.",Anemia
"For the last few days, I noticed chest discomfort, headache, blurred vision and dizziness.",Hypertension
"I have been experiencing blurred vision, chest discomfort, headache and dizziness for the past few days.",Hypertension
I have been experiencing nausea and bloating for the past few days.,Gastritis
I am suffering from fatigue and dizziness.,Anemia
"Lately I am having sneezing, runny nose and skin rash.",Allergy
"I have symptoms like headache, loss of smell, fever and shortness of breath.",COVID-19
"For the last few days, I noticed chest tightness and wheezing.",Asthma
I have symptoms like eye pain and rash.,Dengue
"Lately I am having itchy eyes, sneezing, skin rash and runny nose.",Allergy
"For the last few days, I noticed runny nose, mild cough and sore throat.",Common Cold
"For the last few days, I noticed skin rash, runny nose and sneezing.",Allergy
"Lately I am having stomach pain, headache and prolonged fever.",Typhoid
"Lately I am having loss of appetite, headache, stomach pain and weakness.",Typhoid
"For the last few days, I noticed headache, dizziness and chest discomfort.",Hypertension
"I feel vomiting, diarrhea, fever and stomach cramps.",Food Poisoning
"I am suffering from dry cough, headache and fever.",COVID-19
"I am dealing with shortness of breath, chest tightness and wheezing.",Asthma
"Lately I am having blurred vision, chest discomfort and dizziness.",Hypertension
"My main problems are sweating, nausea and headache.",Malaria
"I have been experiencing nausea, headache and chills for the past few days.",Malaria
I have been experiencing sore throat and mild cough for the past few days.,Common Cold
I am dealing with dizziness and blurred vision.,Hypertension
I am dealing with blurred vision and chest discomfort.,Hypertension
"I feel runny nose, mild cough and sore throat.",Common Cold
I have symptoms like chills and nausea.,Malaria
I have symptoms like eye pain and headache.,Dengue
"I have been experiencing sensitivity to light, vomiting and severe headache for the past few days.",Migraine
"I am dealing with chest discomfort, blurred vision and headache.",Hypertension
"For the last few days, I noticed chest tightness, wheezing, shortness of breath and cough.",Asthma
"Lately I am having fever, loss of smell and dry cough.",COVID-19
"My main problems are fatigue, weight loss and frequent urination.",Diabetes
"Lately I am having wheezing, chest tightness, shortness of breath and cough.",Asthma
"I feel congestion, runny nose, sore throat and mild cough.",Common Cold
"I have been experiencing indigestion, nausea and loss of appetite for the past few days.",Gastritis
I have been experiencing severe headache and nausea for the past few days.,Migraine
I am suffering from fatigue and body pain.,Flu
"Lately I am having loss of appetite, weakness, headache and prolonged fever.",Typhoid
"I have symptoms like dizziness, chest discomfort, headache and blurred vision.",Hypertension
"I have been experiencing wheezing, chest tightness, shortness of breath and cough for the past few days.",Asthma
"I am suffering from fever, nausea, vomiting and diarrhea.",Food Poisoning
"My main problems are rash, joint pain, headache and high fever.",Dengue
"Lately I am having blurred vision, headache and dizziness.",Hypertension
"I have been experiencing loss of appetite, weakness and stomach pain for the past few days.",Typhoid
I have been experiencing sweating and nausea for the past few days.,Malaria
"My main problems are fatigue, increased thirst and blurred vision.",Diabetes
"I am dealing with fever, nausea and stomach cramps.",Food Poisoning
"Lately I am having headache, chills, fever and sweating.",Malaria
"My main problems are sore throat, headache, cough and fever.",Flu
"Lately I am having nausea, indigestion, loss of appetite and bloating.",Gastritis
"I am dealing with dry cough, fatigue, fever and headache.",COVID-19
"My main problems are frequent urination, weight loss and blurred vision.",Diabetes
"For the last few days, I noticed body pain, sore throat and cough.",Flu
"I am dealing with pale skin, shortness of breath and fatigue.",Anemia
"My main problems are mild cough, runny nose and sneezing.",Common Cold
"I have symptoms like sensitivity to light, severe headache, vomiting and nausea.",Migraine
"I am suffering from joint pain, stiffness and reduced movement.",Arthritis
I am suffering from reduced movement and joint pain.,Arthritis
"For the last few days, I noticed dry cough and fever.",COVID-19
"For the last few days, I noticed dizziness and shortness of breath.",Anemia
"I am suffering from blurred vision, dizziness and chest discomfort.",Hypertension
I feel headache and dizziness.,Hypertension
My main problems are indigestion and nausea.,Gastritis
"I have been experiencing shortness of breath, cough, chest tightness and wheezing for the past few days.",Asthma
"I am suffering from eye pain, rash and headache.",Dengue
My main problems are prolonged fever and headache.,Typhoid
I have been experiencing vomiting and sensitivity to light for the past few days.,Migraine
My main problems are fever and headache.,Malaria
"For the last few days, I noticed dizziness and chest discomfort.",Hypertension
"I have been experiencing skin rash, sneezing, runny nose and itchy eyes for the past few days.",Allergy
"I am suffering from chills, fatigue, headache and body pain.",Flu
"Lately I am having vomiting, sensitivity to light, severe headache and nausea.",Migraine
I have symptoms like cough and wheezing.,Asthma
"For the last few days, I noticed fatigue, dizziness and pale skin.",Anemia
"Lately I am having headache, nausea, sweating and chills.",Malaria
I am dealing with runny nose and itchy eyes.,Allergy
"My main problems are dizziness, shortness of breath and pale skin.",Anemia
"I have been experiencing sweating, chills, nausea and fever for the past few days.",Malaria
"For the last few days, I noticed sweating, nausea and headache.",Malaria
"I have symptoms like sensitivity to light, nausea and vomiting.",Migraine
"For the last few days, I noticed sneezing, skin rash and itchy eyes.",Allergy
Lately I am having fatigue and dizziness.,Anemia
"Lately I am having dizziness, shortness of breath and fatigue.",Anemia
"My main problems are rash, headache and eye pain.",Dengue
"I have symptoms like itchy eyes, sneezing, skin rash and runny nose.",Allergy
I am dealing with reduced movement and joint pain.,Arthritis
"My main problems are headache, chills and fever.",Malaria
"I am dealing with nausea, headache and chills.",Malaria
I feel loss of appetite and indigestion.,Gastritis
"I have been experiencing sneezing, mild cough, congestion and runny nose for the past few days.",Common Cold
I feel joint pain and stiffness.,Arthritis
"I have been experiencing cough, shortness of breath, chest tightness and wheezing for the past few days.",Asthma
"Lately I am having swelling, reduced movement, stiffness and joint pain.",Arthritis
"My main problems are sneezing, sore throat and congestion.",Common Cold
"My main problems are frequent urination, increased thirst, blurred vision and fatigue.",Diabetes
"I am dealing with shortness of breath, chest tightness and cough.",Asthma
"For the last few days, I noticed sweating, headache, nausea and fever.",Malaria
I have been experiencing loss of appetite and nausea for the past few days.,Gastritis
"I feel runny nose, itchy eyes, sneezing and skin rash.",Allergy
I am suffering from stomach pain and nausea.,Gastritis
"My main problems are nausea, sweating, chills and fever.",Malaria
"I feel sweating, headache, fever and nausea.",Malaria
I have been experiencing dizziness and pale skin for the past few days.,Anemia
I am suffering from sneezing and runny nose.,Allergy
"For the last few days, I noticed high fever, headache and eye pain.",Dengue
"For the last few days, I noticed prolonged fever, weakness and loss of appetite.",Typhoid
"I am suffering from fever, chills, fatigue and sore throat.",Flu
I am dealing with weight loss and frequent urination.,Diabetes
"I am suffering from stomach cramps, nausea, fever and diarrhea.",Food Poisoning
I have been experiencing runny nose and itchy eyes for the past few days.,Allergy
"My main problems are bloating, stomach pain and indigestion.",Gastritis
"Lately I am having runny nose, congestion, sore throat and mild cough.",Common Cold
I am suffering from nausea and diarrhea.,Food Poisoning
"For the last few days, I noticed dizziness, pale skin, fatigue and shortness of breath.",Anemia
I feel nausea and stomach cramps.,Food Poisoning
I have symptoms like chest tightness and wheezing.,Asthma
I am dealing with vomiting and sensitivity to light.,Migraine
"Lately I am having blurred vision, weight loss, frequent urination and increased thirst.",Diabetes
"I am suffering from diarrhea, nausea, fever and vomiting.",Food Poisoning
"I have symptoms like sneezing, itchy eyes, runny nose and skin rash.",Allergy
"My main problems are stomach cramps, vomiting and fever.",Food Poisoning
"I am dealing with loss of appetite, indigestion, bloating and nausea.",Gastritis
"For the last few days, I noticed nausea, diarrhea and stomach cramps.",Food Poisoning
"Lately I am having sore throat, congestion and sneezing.",Common Cold
"For the last few days, I noticed stiffness, swelling and reduced movement.",Arthritis
My main problems are cough and shortness of breath.,Asthma
"I feel fatigue, shortness of breath, headache and dry cough.",COVID-19
I feel fatigue and fever.,COVID-19
Lately I am having runny nose and sore throat.,Common Cold
"My main problems are skin rash, runny nose and itchy eyes.",Allergy
"My main problems are shortness of breath, fatigue, pale skin and dizziness.",Anemia
"My main problems are diarrhea, fever, vomiting and stomach cramps.",Food Poisoning
"I have been experiencing nausea, severe headache and sensitivity to light for the past few days.",Migraine
"I have been experiencing cough, wheezing, shortness of breath and chest tightness for the past few days.",Asthma
"I am dealing with sneezing, congestion and runny nose.",Common Cold
"For the last few days, I noticed prolonged fever, stomach pain and headache.",Typhoid
"For the last few days, I noticed fatigue, loss of smell and fever.",COVID-19
"I am suffering from nausea, loss of appetite, stomach pain and indigestion.",Gastritis
I am suffering from runny nose and itchy eyes.,Allergy
My main problems are chills and fatigue.,Flu
"I am dealing with fatigue, shortness of breath, dizziness and pale skin.",Anemia
"My main problems are reduced movement, stiffness, joint pain and swelling.",Arthritis
"Lately I am having joint pain, headache and high fever.",Dengue
"Lately I am having headache, cough and body pain.",Flu
I am dealing with sweating and nausea.,Malaria
"I have symptoms like stomach cramps, vomiting, diarrhea and nausea.",Food Poisoning
"My main problems are sore throat, sneezing and runny nose.",Common Cold
"My main problems are chest tightness, wheezing, shortness of breath and cough.",Asthma
"Lately I am having eye pain, joint pain, headache and high fever.",Dengue
Lately I am having joint pain and reduced movement.,Arthritis
"I have symptoms like cough, shortness of breath, chest tightness and wheezing.",Asthma
"My main problems are prolonged fever, loss of appetite, stomach pain and headache.",Typhoid
"Lately I am having pale skin, fatigue and shortness of breath.",Anemia
"My main problems are loss of appetite, nausea, bloating and stomach pain.",Gastritis
"I feel diarrhea, stomach cramps, fever and nausea.",Food Poisoning
I have been experiencing headache and eye pain for the past few days.,Dengue
"For the last few days, I noticed fatigue, shortness of breath and dizziness.",Anemia
"I feel stomach pain, bloating and nausea.",Gastritis
"I have symptoms like stiffness, swelling, joint pain and reduced movement.",Arthritis
"I am suffering from fatigue, shortness of breath and pale skin.",Anemia
"My main problems are dizziness, shortness of breath and fatigue.",Anemia
"Lately I am having reduced movement, joint pain, stiffness and swelling.",Arthritis
I am suffering from itchy eyes and skin rash.,Allergy
I am suffering from nausea and sensitivity to light.,Migraine
Lately I am having stomach pain and loss of appetite.,Gastritis
"I have been experiencing itchy eyes, runny nose and skin rash for the past few days.",Allergy
"I am suffering from headache, fever, nausea and sweating.",Malaria
"I am suffering from indigestion, stomach pain, loss of appetite and nausea.",Gastritis
"I have been experiencing chills, body pain and cough for the past few days.",Flu
"For the last few days, I noticed joint pain and headache.",Dengue
"I have symptoms like sneezing, skin rash and itchy eyes.",Allergy
"I have symptoms like dizziness, chest discomfort, blurred vision and headache.",Hypertension
"I feel stomach pain, bloating and loss of appetite.",Gastritis
I have symptoms like mild cough and runny nose.,Common Cold
"I am suffering from nausea, indigestion and loss of appetite.",Gastritis
"I have been experiencing headache, high fever, rash and eye pain for the past few days.",Dengue
"I am dealing with fever, stomach cramps, vomiting and nausea.",Food Poisoning
"My main problems are stomach pain, nausea, indigestion and loss of appetite.",Gastritis
"For the last few days, I noticed swelling, joint pain and reduced movement.",Arthritis
"My main problems are mild cough, sneezing, sore throat and congestion.",Common Cold
"For the last few days, I noticed headache, chills, fever and sweating.",Malaria
"I have symptoms like fever, headache and cough.",Flu
"I have symptoms like stomach cramps, nausea and diarrhea.",Food Poisoning
"I am suffering from chest discomfort, dizziness and blurred vision.",Hypertension
"Lately I am having headache, dizziness, chest discomfort and blurred vision.",Hypertension
"For the last few days, I noticed chest discomfort, dizziness, blurred vision and headache.",Hypertension
"My main problems are congestion, sore throat, sneezing and runny nose.",Common Cold
I have symptoms like headache and eye pain.,Dengue
"I feel indigestion, nausea, stomach pain and loss of appetite.",Gastritis
Lately I am having rash and high fever.,Dengue
"I feel high fever, headache and eye pain.",Dengue
"I feel runny nose, sore throat, mild cough and sneezing.",Common Cold
"I am suffering from frequent urination, blurred vision and fatigue.",Diabetes
I have been experiencing swelling and joint pain for the past few days.,Arthritis
"I have been experiencing body pain, fever, headache and chills for the past few days.",Flu
My main problems are sneezing and skin rash.,Allergy
"I have symptoms like severe headache, vomiting, sensitivity to light and nausea.",Migraine
"For the last few days, I noticed high fever and joint pain.",Dengue
I am dealing with runny nose and sore throat.,Common Cold
I have been experiencing headache and dizziness for the past few days.,Hypertension
"For the last few days, I noticed bloating, loss of appetite, nausea and indigestion.",Gastritis
"For the last few days, I noticed pale skin and fatigue.",Anemia
"I have symptoms like dizziness, headache, chest discomfort and blurred vision.",Hypertension
"I feel fatigue, dry cough, fever and shortness of breath.",COVID-19
Lately I am having shortness of breath and cough.,Asthma
"I have symptoms like fatigue, shortness of breath, pale skin and dizziness.",Anemia
"I am suffering from dizziness, shortness of breath and pale skin.",Anemia
"I am dealing with cough, chest tightness and wheezing.",Asthma
"For the last few days, I noticed blurred vision, chest discomfort, dizziness and headache.",Hypertension
"I am suffering from stomach pain, loss of appetite, prolonged fever and weakness.",Typhoid
"I have been experiencing vomiting, nausea and fever for the past few days.",Food Poisoning
I feel dizziness and fatigue.,Anemia
"I have been experiencing itchy eyes, skin rash, sneezing and runny nose for the past few days.",Allergy
"I am dealing with reduced movement, joint pain, stiffness and swelling.",Arthritis
Lately I am having vomiting and nausea.,Migraine
"I feel cough, sore throat and fatigue.",Flu
I am dealing with stomach cramps and nausea.,Food Poisoning
"For the last few days, I noticed skin rash and runny nose.",Allergy
"I have symptoms like diarrhea, nausea and vomiting.",Food Poisoning
"My main problems are fever, sweating and chills.",Malaria
"For the last few days, I noticed itchy eyes, runny nose, sneezing and skin rash.",Allergy
Lately I am having loss of appetite and indigestion.,Gastritis
"I have been experiencing chest discomfort, blurred vision and dizziness for the past few days.",Hypertension
"Lately I am having bloating, loss of appetite, nausea and stomach pain.",Gastritis
"Lately I am having headache, dry cough, loss of smell and fatigue.",COVID-19
"Lately I am having dizziness, shortness of breath and fatigue.",Anemia
"My main problems are headache, fever and chills.",Malaria
"For the last few days, I noticed sneezing and mild cough.",Common Cold
"Lately I am having fatigue, weight loss, increased thirst and frequent urination.",Diabetes
Lately I am having weight loss and frequent urination.,Diabetes
"Lately I am having stomach cramps, vomiting and fever.",Food Poisoning
"I feel high fever, headache and rash.",Dengue
I am suffering from prolonged fever and headache.,Typhoid
"For the last few days, I noticed headache and prolonged fever.",Typhoid
I am suffering from skin rash and itchy eyes.,Allergy
"I am suffering from mild cough, runny nose and sneezing.",Common Cold
"For the last few days, I noticed diarrhea, nausea and vomiting.",Food Poisoning
"For the last few days, I noticed fatigue, fever, body pain and cough.",Flu
"My main problems are chest discomfort, headache and dizziness.",Hypertension
"My main problems are vomiting, severe headache and sensitivity to light.",Migraine
I feel stiffness and reduced movement.,Arthritis
"I have symptoms like blurred vision, chest discomfort, headache and dizziness.",Hypertension
"I am dealing with frequent urination, increased thirst and fatigue.",Diabetes
"My main problems are sneezing, itchy eyes, skin rash and runny nose.",Allergy
"Lately I am having congestion, mild cough and runny nose.",Common Cold
I am suffering from chest tightness and cough.,Asthma
"I am suffering from nausea, stomach cramps, diarrhea and fever.",Food Poisoning
"For the last few days, I noticed rash, high fever, joint pain and headache.",Dengue
"Lately I am having shortness of breath, fatigue and dizziness.",Anemia
I have symptoms like nausea and fever.,Food Poisoning
"I am dealing with dry cough, fatigue, fever and loss of smell.",COVID-19
"I feel headache, nausea, chills and fever.",Malaria
"For the last few days, I noticed dizziness, fatigue and shortness of breath.",Anemia
I have symptoms like chest discomfort and headache.,Hypertension
"For the last few days, I noticed fatigue and chills.",Flu
"My main problems are stomach cramps, nausea, fever and diarrhea.",Food Poisoning
"I am dealing with shortness of breath, dizziness, pale skin and fatigue.",Anemia
I have symptoms like joint pain and swelling.,Arthritis
"My main problems are stiffness, joint pain and swelling.",Arthritis
"I feel headache, chest discomfort, dizziness and blurred vision.",Hypertension
I have symptoms like headache and fatigue.,Flu
Lately I am having body pain and cough.,Flu
"I feel headache, dry cough and fatigue.",COVID-19
"I have been experiencing loss of smell, fever and dry cough for the past few days.",COVID-19
"I have symptoms like headache, dry cough and shortness of breath.",COVID-19
Lately I am having headache and prolonged fever.,Typhoid
I feel joint pain and stiffness.,Arthritis
"I am dealing with swelling, stiffness and reduced movement.",Arthritis
"I am suffering from nausea, severe headache, sensitivity to light and vomiting.",Migraine
"I have symptoms like runny nose, sneezing and skin rash.",Allergy
"My main problems are vomiting, nausea and severe headache.",Migraine
"I have symptoms like fever, vomiting, diarrhea and stomach cramps.",Food Poisoning
Lately I am having high fever and eye pain.,Dengue
"My main problems are itchy eyes, sneezing and runny nose.",Allergy
"I am suffering from nausea, severe headache, sensitivity to light and vomiting.",Migraine
"For the last few days, I noticed runny nose and mild cough.",Common Cold
"I am suffering from loss of appetite, stomach pain and weakness.",Typhoid
"For the last few days, I noticed indigestion and bloating.",Gastritis
I have been experiencing headache and eye pain for the past few days.,Dengue
I have been experiencing sneezing and skin rash for the past few days.,Allergy
"I am dealing with bloating, loss of appetite, nausea and stomach pain.",Gastritis
"My main problems are weakness, headache, loss of appetite and prolonged fever.",Typhoid
"For the last few days, I noticed sneezing, runny nose, skin rash and itchy eyes.",Allergy
"For the last few days, I noticed headache, chest discomfort and dizziness.",Hypertension
I am dealing with swelling and joint pain.,Arthritis
"I feel skin rash, runny nose, itchy eyes and sneezing.",Allergy
"I have symptoms like diarrhea, nausea and fever.",Food Poisoning
"I have symptoms like stomach pain, loss of appetite and bloating.",Gastritis
"For the last few days, I noticed eye pain, rash and headache.",Dengue
"My main problems are shortness of breath, cough and wheezing.",Asthma
"Lately I am having eye pain, high fever and headache.",Dengue
"Lately I am having runny nose, skin rash and sneezing.",Allergy
"I have been experiencing itchy eyes, sneezing, skin rash and runny nose for the past few days.",Allergy
I have been experiencing shortness of breath and fever for the past few days.,COVID-19
"My main problems are body pain, fatigue, chills and sore throat.",Flu
Lately I am having chills and headache.,Malaria
"I have symptoms like fatigue, increased thirst, frequent urination and blurred vision.",Diabetes
"Lately I am having itchy eyes, runny nose, sneezing and skin rash.",Allergy
"I have been experiencing vomiting, diarrhea and stomach cramps for the past few days.",Food Poisoning
I have symptoms like rash and joint pain.,Dengue
"I have symptoms like diarrhea, nausea, fever and vomiting.",Food Poisoning
"I am suffering from sensitivity to light, severe headache, vomiting and nausea.",Migraine
"I have been experiencing chills, sore throat and fever for the past few days.",Flu
I have been experiencing weakness and prolonged fever for the past few days.,Typhoid
"Lately I am having blurred vision, frequent urination and increased thirst.",Diabetes
"For the last few days, I noticed dizziness, chest discomfort and blurred vision.",Hypertension
"I feel nausea, indigestion and bloating.",Gastritis
"For the last few days, I noticed blurred vision and chest discomfort.",Hypertension
"I am dealing with blurred vision, dizziness, chest discomfort and headache.",Hypertension
"My main problems are chest tightness, shortness of breath and cough.",Asthma
I am suffering from fever and chills.,Malaria
"I am suffering from fever, nausea, headache and sweating.",Malaria
I am dealing with sweating and headache.,Malaria
Lately I am having headache and fatigue.,Flu
My main problems are stiffness and reduced movement.,Arthritis
"I have been experiencing wheezing, cough and shortness of breath for the past few days.",Asthma
Lately I am having fatigue and shortness of breath.,Anemia
I am dealing with blurred vision and chest discomfort.,Hypertension
I am dealing with fatigue and blurred vision.,Diabetes
Lately I am having loss of appetite and bloating.,Gastritis
"I am dealing with dizziness, fatigue and shortness of breath.",Anemia
"For the last few days, I noticed blurred vision, dizziness, chest discomfort and headache.",Hypertension
"I have been experiencing stomach cramps, diarrhea, vomiting and nausea for the past few days.",Food Poisoning
"I have been experiencing dizziness, fatigue, pale skin and shortness of breath for the past few days.",Anemia
"I am dealing with sneezing, sore throat, congestion and runny nose.",Common Cold
"I feel blurred vision, frequent urination, increased thirst and fatigue.",Diabetes
"For the last few days, I noticed headache and blurred vision.",Hypertension
"My main problems are headache, eye pain and high fever.",Dengue
"I feel cough, fatigue, sore throat and chills.",Flu
I am dealing with stomach cramps and fever.,Food Poisoning
"Lately I am having vomiting, nausea and severe headache.",Migraine
"For the last few days, I noticed nausea, vomiting, severe headache and sensitivity to light.",Migraine
"My main problems are wheezing, shortness of breath, chest tightness and cough.",Asthma
"For the last few days, I noticed headache, fatigue, loss of smell and shortness of breath.",COVID-19
"My main problems are chest discomfort, headache and dizziness.",Hypertension
I am suffering from joint pain and swelling.,Arthritis
"My main problems are dizziness, blurred vision and headache.",Hypertension
"I have symptoms like chills, body pain, fever and sore throat.",Flu
I am suffering from chills and headache.,Malaria
Lately I am having cough and shortness of breath.,Asthma
"I am suffering from nausea, vomiting, sensitivity to light and severe headache.",Migraine
Lately I am having nausea and fever.,Food Poisoning
I am dealing with congestion and mild cough.,Common Cold
"I am suffering from headache, dizziness, blurred vision and chest discomfort.",Hypertension
"For the last few days, I noticed blurred vision, increased thirst, frequent urination and weight loss.",Diabetes
"I have symptoms like loss of appetite, indigestion and stomach pain.",Gastritis
"My main problems are loss of appetite, stomach pain and indigestion.",Gastritis
I have been experiencing headache and fever for the past few days.,COVID-19
"I have symptoms like sore throat, sneezing, runny nose and congestion.",Common Cold
"For the last few days, I noticed weight loss, increased thirst, frequent urination and fatigue.",Diabetes
"Lately I am having dry cough, shortness of breath, loss of smell and headache.",COVID-19
"Lately I am having cough, headache and body pain.",Flu
I feel pale skin and fatigue.,Anemia
"I am dealing with chills, fever, nausea and headache.",Malaria
"Lately I am having sore throat, body pain, chills and fever.",Flu
I have symptoms like stomach cramps and fever.,Food Poisoning
I have been experiencing stiffness and reduced movement for the past few days.,Arthritis
I have been experiencing joint pain and eye pain for the past few days.,Dengue
I am suffering from itchy eyes and skin rash.,Allergy
I have been experiencing nausea and diarrhea for the past few days.,Food Poisoning
"For the last few days, I noticed vomiting, severe headache, sensitivity to light and nausea.",Migraine
"I have symptoms like loss of appetite, stomach pain, weakness and headache.",Typhoid
"For the last few days, I noticed vomiting and diarrhea.",Food Poisoning
I am suffering from fever and sweating.,Malaria
"My main problems are sweating, chills and nausea.",Malaria
"I am suffering from cough, chest tightness, shortness of breath and wheezing.",Asthma
My main problems are fever and loss of smell.,COVID-19
I am suffering from chills and headache.,Malaria
